empresa_id,camara,rubro,url_ficha
227,CAPEMISA,Logística,https://capemisa.com.ar/socio/transporte-cruz-del-sur-s-a/
228,CAPEMISA,Logística,https://capemisa.com.ar/socio/traxx-s-a/
229,CAPEMISA,Medicina,https://capemisa.com.ar/socio/centro-diagnostico-molecular-s-r-l/
230,CAPEMISA,Medicina,https://capemisa.com.ar/socio/centro-medico-balcarce/
231,CAPEMISA,Medicina,https://capemisa.com.ar/socio/consulmet-s-r-l/
232,CAPEMISA,Medicina,https://capemisa.com.ar/socio/diagnostico-salta/
233,CAPEMISA,Medicina,https://capemisa.com.ar/socio/farmacia-par/
234,CAPEMISA,Medicina,https://capemisa.com.ar/socio/labac-s-r-l/
235,CAPEMISA,Medicina,https://capemisa.com.ar/socio/labtec-s-r-l/
236,CAPEMISA,Medicina,https://capemisa.com.ar/socio/med-lab-salta-s-r-l/
237,CAPEMISA,Medicina,https://capemisa.com.ar/socio/medicina-ambulatoria-salta-s-r-l/
238,CAPEMISA,Medicina,https://capemisa.com.ar/socio/prisma-salud/
239,CAPEMISA,Medicina,https://capemisa.com.ar/socio/salud-integrada-s-r-l/
240,CAPEMISA,Medicina,https://capemisa.com.ar/socio/servicios-medicos-mineros/
241,CAPEMISA,Medicina,https://capemisa.com.ar/socio/tempus-s-r-l/
242,CAPEMISA,Perforaciones,https://capemisa.com.ar/socio/agv-falcon-drilling-srl/
243,CAPEMISA,Perforaciones,https://capemisa.com.ar/socio/andina-perforaciones-srl/
244,CAPEMISA,Perforaciones,https://capemisa.com.ar/socio/cuarzo-perforaciones-s-r-l/
245,CAPEMISA,Perforaciones,https://capemisa.com.ar/socio/santa-fe-lithium-rigs-s-r-l/
246,CAPEMISA,Perforaciones,https://capemisa.com.ar/socio/wichi-toledo-s-r-l/
247,CAPEMISA,Seguridad,https://capemisa.com.ar/socio/albiero-sistemas-de-seguridad/
248,CAPEMISA,Seguridad,https://capemisa.com.ar/socio/a-tiempo-seguridad-s-r-l/
249,CAPEMISA,Seguridad,https://capemisa.com.ar/socio/consultoria-y-servicios-afines-a-lamineria-s-a-s/
250,CAPEMISA,Seguridad,https://capemisa.com.ar/socio/guardian-s-r-l/
251,CAPEMISA,Seguridad,https://capemisa.com.ar/socio/jci-seguridad-s-a-s/
252,CAPEMISA,Seguridad,https://capemisa.com.ar/socio/noa-tecnologias-s-r-l/
253,CAPEMISA,Seguridad,https://capemisa.com.ar/socio/secorp-s-r-l/
254,CAPEMISA,Seguridad,https://capemisa.com.ar/socio/vacu-s-r-l/
255,CAPEMISA,Servicios,https://capemisa.com.ar/socio/9amas/
256,CAPEMISA,Servicios,https://capemisa.com.ar/socio/acclimatare-s-r-l/
257,CAPEMISA,Servicios,https://capemisa.com.ar/socio/ad-argia-s-r-l/
